turn,speaker,text,move,uptake
130,D,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
131,C,I think the evidence supports the first explanation,evidence_request,0.15384615384615385
132,A,I think the evidence supports the first explanation,evidence_request,1.0
133,B,"Building on your point, the evidence also shows a timing effect",evidence_request,0.15384615384615385
134,D,Therefore the group should test the alternative explanation,reasoning,0.06666666666666667
135,B,I have another example that might fit the pattern,other,0.07142857142857142
136,D,I have another example that might fit the pattern,other,1.0
137,A,"However, I disagree because the second condition changes the result",challenge,0.06666666666666667
138,D,How do we know this? What source supports it?,evidence_request,0.0
139,A,"However, I disagree because the second condition changes the result",challenge,0.0
140,A,"However, I disagree because the second condition changes the result",challenge,1.0
141,C,How do we know this? What source supports it?,evidence_request,0.0
142,D,I have another example that might fit the pattern,other,0.0
143,C,I have another example that might fit the pattern,other,1.0
144,C,How do we know this? What source supports it?,evidence_request,0.0
145,C,I think the evidence supports the first explanation,evidence_request,0.09090909090909091
146,A,How do we know this? What source supports it?,evidence_request,0.09090909090909091
147,D,"However, I disagree because the second condition changes the result",challenge,0.0
148,C,How do we know this? What source supports it?,evidence_request,0.0
149,C,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0
150,B,I think the evidence supports the first explanation,evidence_request,0.15384615384615385
151,B,Therefore the group should test the alternative explanation,reasoning,0.18181818181818182
152,C,How do we know this? What source supports it?,evidence_request,0.0
153,A,"However, I disagree because the second condition changes the result",challenge,0.0
154,A,"However, I disagree because the second condition changes the result",challenge,1.0
155,D,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
156,B,"However, I disagree because the second condition changes the result",challenge,0.0625
157,B,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
158,C,Therefore the group should test the alternative explanation,reasoning,1.0
159,D,I have another example that might fit the pattern,other,0.07142857142857142
160,C,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
161,B,"However, I disagree because the second condition changes the result",challenge,0.07142857142857142
162,A,I have another example that might fit the pattern,other,0.06666666666666667
163,D,I have another example that might fit the pattern,other,1.0
164,C,How do we know this? What source supports it?,evidence_request,0.0
165,A,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0
166,B,I have another example that might fit the pattern,other,0.0625
167,C,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
168,A,I have another example that might fit the pattern,other,0.0625
169,C,"However, I disagree because the second condition changes the result",challenge,0.06666666666666667
170,B,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
171,B,How do we know this? What source supports it?,evidence_request,0.0
172,B,"However, I disagree because the second condition changes the result",challenge,0.0
173,D,I have another example that might fit the pattern,other,0.06666666666666667
174,C,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
175,C,"However, I disagree because the second condition changes the result",challenge,0.0625
176,B,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
177,D,"Building on your point, the evidence also shows a timing effect",evidence_request,0.15384615384615385
178,A,I think the evidence supports the first explanation,evidence_request,0.15384615384615385
179,D,How do we know this? What source supports it?,evidence_request,0.09090909090909091
